sep=	
1784681700926.97998047	1631.036451
1784681700931.97998047	1613.096223
1784681700936.97998047	1582.931786
1784681700941.97998047	1516.797527
1784681700946.97998047	1437.977987
1784681700951.97998047	1405.879038
1784681700956.97998047	1376.482073
1784681700961.97998047	1312.831664
1784681700966.97998047	1240.251464
1784681700971.97998047	1260.309207
1784681700976.97998047	1187.003176
1784681700981.97998047	1154.989528
1784681700986.97998047	1161.444964
1784681700991.97998047	1082.953354
1784681700996.97998047	1084.692472
1784681701001.97998047	1014.269964
1784681701006.97998047	1006.535869
1784681701011.97998047	988.789057
1784681701016.97998047	946.042886
1784681701021.97998047	938.408890
1784681701026.97998047	934.734535
1784681701031.97998047	935.416846
1784681701036.97998047	878.109163
1784681701041.97998047	895.586659
1784681701046.97998047	911.412732
1784681701051.97998047	881.327886
1784681701056.97998047	894.441145
1784681701061.97998047	899.339190
1784681701066.97998047	896.077788
1784681701071.97998047	906.443598
1784681701076.97998047	894.802999
1784681701081.97998047	893.863280
1784681701086.97998047	854.925447
1784681701091.97998047	912.118423
1784681701096.97998047	929.071068
1784681701101.97998047	937.722619
1784681701106.97998047	922.283882
1784681701111.97998047	974.949708
1784681701116.97998047	950.431900
1784681701121.97998047	951.736327
1784681701126.97998047	978.127861
1784681701131.97998047	940.571091
1784681701136.97998047	946.815153
1784681701141.97998047	1003.135345
1784681701146.97998047	953.138340
1784681701151.97998047	981.588631
1784681701156.97998047	914.353832
1784681701161.97998047	931.686040
1784681701166.97998047	933.591710
1784681701171.97998047	920.722805
1784681701176.97998047	881.526522
1784681701181.97998047	887.235358
1784681701186.97998047	848.910059
1784681701191.97998047	866.849432
1784681701196.97998047	855.114001
1784681701201.97998047	768.610742
1784681701206.97998047	816.591079
1784681701211.97998047	745.124808
1784681701216.97998047	756.657322
1784681701221.97998047	738.186360
1784681701226.97998047	698.503077
1784681701231.97998047	667.484216
1784681701236.97998047	662.246220
1784681701241.97998047	647.236424
1784681701246.97998047	636.914006
1784681701251.97998047	560.555674
1784681701256.97998047	553.089765
1784681701261.97998047	600.786534
1784681701266.97998047	581.892851
1784681701271.97998047	561.128690
1784681701276.97998047	561.113086
1784681701281.97998047	562.686988
1784681701286.97998047	492.007610
1784681701291.97998047	571.839678
1784681701296.97998047	548.018554
1784681701301.97998047	574.213588
1784681701306.97998047	579.473210
1784681701311.97998047	622.546031
1784681701316.97998047	621.854953
1784681701321.97998047	666.900093
1784681701326.97998047	680.379056
1784681701331.97998047	701.894860
1784681701336.97998047	787.311163
1784681701341.97998047	820.969506
1784681701346.97998047	887.206724
1784681701351.97998047	903.946174
1784681701356.97998047	978.213374
1784681701361.97998047	1051.214228
1784681701366.97998047	1064.743657
1784681701371.97998047	1104.990578
1784681701376.97998047	1189.865477
1784681701381.97998047	1255.405447
1784681701386.97998047	1329.277986
1784681701391.97998047	1428.258444
1784681701396.97998047	1456.147694
1784681701401.97998047	1539.357236
1784681701406.97998047	1596.816928
1784681701411.97998047	1671.181724
1784681701416.97998047	1746.072121
1784681701421.97998047	1834.685477
1784681701426.97998047	1877.896118
1784681701431.97998047	1955.812662
1784681701436.97998047	2021.690422
1784681701441.97998047	2087.187712
1784681701446.97998047	2118.173218
1784681701451.97998047	2220.744853
1784681701456.97998047	2236.719108
1784681701461.97998047	2295.767074
1784681701466.97998047	2376.771860
1784681701471.97998047	2422.516017
1784681701476.97998047	2419.806896
1784681701481.97998047	2466.061618
1784681701486.97998047	2495.157675
1784681701491.97998047	2561.588653
1784681701496.97998047	2593.692969
1784681701501.97998047	2626.928994
1784681701506.97998047	2656.757768
1784681701511.97998047	2656.589071
1784681701516.97998047	2668.551012
1784681701521.97998047	2725.698565
1784681701526.97998047	2733.926993
1784681701531.97998047	2699.545014
1784681701536.97998047	2735.810083
1784681701541.97998047	2725.029423
1784681701546.97998047	2704.112415
1784681701551.97998047	2748.548585
1784681701556.97998047	2741.517817
1784681701561.97998047	2736.345161
1784681701566.97998047	2735.537036
1784681701571.97998047	2739.609673
1784681701576.97998047	2714.734364
1784681701581.97998047	2684.958006
1784681701586.97998047	2667.339157
1784681701591.97998047	2662.308222
1784681701596.97998047	2652.285527
1784681701601.97998047	2604.729648
1784681701606.97998047	2599.632042
1784681701611.97998047	2598.869729
1784681701616.97998047	2552.025368
1784681701621.97998047	2513.394204
1784681701626.97998047	2493.561122
1784681701631.97998047	2491.673664
1784681701636.97998047	2449.300658
1784681701641.97998047	2430.604537
1784681701646.97998047	2374.909695
1784681701651.97998047	2345.309358
1784681701656.97998047	2289.665823
1784681701661.97998047	2275.466764
1784681701666.97998047	2214.592388
1784681701671.97998047	2156.549531
1784681701676.97998047	2146.696948
1784681701681.97998047	2141.223691
1784681701686.97998047	2075.553930
1784681701691.97998047	2039.202974
1784681701696.97998047	1978.652757
1784681701701.97998047	1914.188532
1784681701706.97998047	1876.604828
1784681701711.97998047	1828.989061
1784681701716.97998047	1778.515970
1784681701721.97998047	1755.166329
1784681701726.97998047	1670.219179
1784681701731.97998047	1664.608256
1784681701736.97998047	1617.856421
1784681701741.97998047	1530.223637
1784681701746.97998047	1521.095479
1784681701751.97998047	1511.666129
1784681701756.97998047	1407.480805
1784681701761.97998047	1392.055564
1784681701766.97998047	1317.174492
1784681701771.97998047	1313.979262
1784681701776.97998047	1257.145518
1784681701781.97998047	1247.154411
1784681701786.97998047	1148.624363
1784681701791.97998047	1142.313839
1784681701796.97998047	1100.302057
1784681701801.97998047	1076.464301
1784681701806.97998047	1039.544573
1784681701811.97998047	1009.416981
1784681701816.97998047	1013.914056
1784681701821.97998047	959.160945
1784681701826.97998047	991.513900
1784681701831.97998047	921.379026
1784681701836.97998047	932.725536
1784681701841.97998047	929.257400
1784681701846.97998047	920.460995
1784681701851.97998047	894.977640
1784681701856.97998047	896.950038
1784681701861.97998047	910.879019
1784681701866.97998047	860.632220
1784681701871.97998047	873.900106
1784681701876.97998047	897.218471
1784681701881.97998047	884.515750
1784681701886.97998047	924.549577
1784681701891.97998047	915.291871
1784681701896.97998047	908.681060
1784681701901.97998047	883.016175
1784681701906.97998047	919.935491
1784681701911.97998047	919.421031
1784681701916.97998047	929.918744
1784681701921.97998047	914.222107
1784681701926.97998047	953.182671
1784681701931.97998047	927.061378
1784681701936.97998047	947.039206
1784681701941.97998047	961.838221
1784681701946.97998047	939.954674
1784681701951.97998047	967.333127
1784681701956.97998047	927.907509
1784681701961.97998047	895.026738
1784681701966.97998047	955.852477
1784681701971.97998047	956.990905
1784681701976.97998047	926.360411
1784681701981.97998047	932.326429
1784681701986.97998047	887.586119
1784681701991.97998047	894.966128
1784681701996.97998047	843.903024
1784681702001.97998047	890.101431
1784681702006.97998047	886.065314
1784681702011.97998047	851.529465
1784681702016.97998047	809.647227
1784681702021.97998047	788.825816
1784681702026.97998047	737.831891
1784681702031.97998047	762.210409
1784681702036.97998047	720.266862
1784681702041.97998047	689.508009
1784681702046.97998047	652.909127
1784681702051.97998047	654.276877
1784681702056.97998047	623.303951
1784681702061.97998047	613.524863
1784681702066.97998047	579.736765
1784681702071.97998047	622.178826
1784681702076.97998047	574.425704
1784681702081.97998047	584.800043
1784681702086.97998047	502.303550
1784681702091.97998047	539.020949
1784681702096.97998047	531.246747
1784681702101.97998047	520.087643
1784681702106.97998047	578.559543
1784681702111.97998047	525.844621
1784681702116.97998047	570.608516
1784681702121.97998047	594.927507
1784681702126.97998047	599.061474
1784681702131.97998047	599.277789
1784681702136.97998047	660.695082
1784681702141.97998047	674.164861
1784681702146.97998047	682.117321
1784681702151.97998047	711.945560
1784681702156.97998047	821.349914
1784681702161.97998047	809.422256
1784681702166.97998047	832.577731
1784681702171.97998047	930.199389
1784681702176.97998047	978.537444
1784681702181.97998047	1000.792882
1784681702186.97998047	1047.050796
1784681702191.97998047	1143.876547
1784681702196.97998047	1231.269623
1784681702201.97998047	1285.191592
1784681702206.97998047	1328.018203
1784681702211.97998047	1387.726290
1784681702216.97998047	1477.189849
1784681702221.97998047	1542.797266
1784681702226.97998047	1620.347489
1784681702231.97998047	1667.862580
1784681702236.97998047	1761.419070
1784681702241.97998047	1793.810632
1784681702246.97998047	1869.874973
1784681702251.97998047	1956.159421
1784681702256.97998047	2024.545434
1784681702261.97998047	2027.686579
1784681702266.97998047	2128.397398
1784681702271.97998047	2196.108245
1784681702276.97998047	2210.291775
1784681702281.97998047	2301.826469
1784681702286.97998047	2325.939588
1784681702291.97998047	2410.454050
1784681702296.97998047	2445.514861
1784681702301.97998047	2491.886320
1784681702306.97998047	2517.676701
1784681702311.97998047	2568.241573
1784681702316.97998047	2611.205068
1784681702321.97998047	2652.453892
1784681702326.97998047	2639.007667
1784681702331.97998047	2617.973385
1784681702336.97998047	2683.929592
1784681702341.97998047	2704.766920
1784681702346.97998047	2711.974547
1784681702351.97998047	2738.008816
1784681702356.97998047	2755.628706
1784681702361.97998047	2731.119238
1784681702366.97998047	2739.038402
1784681702371.97998047	2753.785745
1784681702376.97998047	2733.291702
1784681702381.97998047	2742.239697
1784681702386.97998047	2695.040936
1784681702391.97998047	2703.570417
1784681702396.97998047	2689.026582
1784681702401.97998047	2686.126337
1784681702406.97998047	2675.033379
1784681702411.97998047	2680.404742
1784681702416.97998047	2674.488450
1784681702421.97998047	2620.679004
1784681702426.97998047	2594.022500
1784681702431.97998047	2570.264147
1784681702436.97998047	2558.399752
1784681702441.97998047	2536.003825
1784681702446.97998047	2523.089168
1784681702451.97998047	2478.199116
1784681702456.97998047	2412.875218
1784681702461.97998047	2421.078733
1784681702466.97998047	2413.788170
1784681702471.97998047	2379.719772
1784681702476.97998047	2304.690935
1784681702481.97998047	2252.871273
1784681702486.97998047	2295.156977
1784681702491.97998047	2203.771043
1784681702496.97998047	2164.996455
1784681702501.97998047	2134.238788
1784681702506.97998047	2051.444522
1784681702511.97998047	2026.142970
1784681702516.97998047	1966.040506
1784681702521.97998047	1938.373855
1784681702526.97998047	1909.336752
1784681702531.97998047	1833.829381
1784681702536.97998047	1826.637895
1784681702541.97998047	1774.010441
1784681702546.97998047	1703.323352
1784681702551.97998047	1679.052944
1784681702556.97998047	1642.684581
1784681702561.97998047	1602.368333
1784681702566.97998047	1530.694317
1784681702571.97998047	1487.423230
1784681702576.97998047	1442.607346
1784681702581.97998047	1429.079941
1784681702586.97998047	1379.686830
1784681702591.97998047	1331.994067
1784681702596.97998047	1269.022651
1784681702601.97998047	1243.192132
1784681702606.97998047	1206.390026
1784681702611.97998047	1141.862773
1784681702616.97998047	1094.402967
1784681702621.97998047	1110.093016
1784681702626.97998047	1037.072351
1784681702631.97998047	1040.294488
1784681702636.97998047	1020.137211
1784681702641.97998047	1003.601910
1784681702646.97998047	975.659555
1784681702651.97998047	939.128677
1784681702656.97998047	957.790345
1784681702661.97998047	959.449643
1784681702666.97998047	931.204917
1784681702671.97998047	865.836624
1784681702676.97998047	925.966937
1784681702681.97998047	892.151678
1784681702686.97998047	900.975620
1784681702691.97998047	901.887668
1784681702696.97998047	888.089760
1784681702701.97998047	890.528366
1784681702706.97998047	915.674331
1784681702711.97998047	913.830696
1784681702716.97998047	924.554588
1784681702721.97998047	958.188100
1784681702726.97998047	930.009306
1784681702731.97998047	927.250666
1784681702736.97998047	885.242769
1784681702741.97998047	989.394954
1784681702746.97998047	931.553133
1784681702751.97998047	993.683936
1784681702756.97998047	957.807506
1784681702761.97998047	984.170541
1784681702766.97998047	953.091195
1784681702771.97998047	966.046033
1784681702776.97998047	959.145695
1784681702781.97998047	948.604873
1784681702786.97998047	945.705925
1784681702791.97998047	962.421871
1784681702796.97998047	930.416671
1784681702801.97998047	884.192651
1784681702806.97998047	909.766058
1784681702811.97998047	911.498519
1784681702816.97998047	898.403203
1784681702821.97998047	882.227160
1784681702826.97998047	818.449614
1784681702831.97998047	840.785283
1784681702836.97998047	832.782018
1784681702841.97998047	818.061327
1784681702846.97998047	766.441424
1784681702851.97998047	742.453606
1784681702856.97998047	756.389108
1784681702861.97998047	671.068724
1784681702866.97998047	673.814756
1784681702871.97998047	670.437270
1784681702876.97998047	608.570761
1784681702881.97998047	627.349955
1784681702886.97998047	641.629660
1784681702891.97998047	588.077238
1784681702896.97998047	568.727160
1784681702901.97998047	572.254990
1784681702906.97998047	548.217042
1784681702911.97998047	563.932618
1784681702916.97998047	562.669086
1784681702921.97998047	544.804471
1784681702926.97998047	524.823764
1784681702931.97998047	529.194424
1784681702936.97998047	554.625521
1784681702941.97998047	597.188332
1784681702946.97998047	560.734615
1784681702951.97998047	584.777066
1784681702956.97998047	635.993199
1784681702961.97998047	687.464958
1784681702966.97998047	695.708899
1784681702971.97998047	769.934666
1784681702976.97998047	800.794506
1784681702981.97998047	836.212559
1784681702986.97998047	904.906330
1784681702991.97998047	948.417028
1784681702996.97998047	986.851707
1784681703001.97998047	1058.277129
1784681703006.97998047	1126.996333
1784681703011.97998047	1183.795313
1784681703016.97998047	1228.075906
1784681703021.97998047	1324.547719
1784681703026.97998047	1398.039708
1784681703031.97998047	1449.055403
1784681703036.97998047	1515.650489
1784681703041.97998047	1580.860734
1784681703046.97998047	1695.251189
1784681703051.97998047	1726.926381
1784681703056.97998047	1787.028625
1784681703061.97998047	1807.946858
1784681703066.97998047	1893.537249
1784681703071.97998047	1988.578495
1784681703076.97998047	2057.838417
1784681703081.97998047	2120.879498
1784681703086.97998047	2191.226839
1784681703091.97998047	2227.989624
1784681703096.97998047	2310.678798
1784681703101.97998047	2319.748067
1784681703106.97998047	2362.938523
1784681703111.97998047	2408.476999
1784681703116.97998047	2490.777107
1784681703121.97998047	2513.998710
1784681703126.97998047	2567.978381
1784681703131.97998047	2580.119516
1784681703136.97998047	2603.681127
1784681703141.97998047	2634.956012
1784681703146.97998047	2628.855387
1784681703151.97998047	2662.917695
1784681703156.97998047	2674.739917
1784681703161.97998047	2738.868720
1784681703166.97998047	2717.041402
1784681703171.97998047	2753.068544
1784681703176.97998047	2773.074464
1784681703181.97998047	2741.641855
1784681703186.97998047	2751.251881
1784681703191.97998047	2708.112850
1784681703196.97998047	2721.882702
1784681703201.97998047	2732.162345
1784681703206.97998047	2727.557617
1784681703211.97998047	2694.774173
1784681703216.97998047	2749.982356
1784681703221.97998047	2671.460663
1784681703226.97998047	2664.354911
1784681703231.97998047	2656.678002
1784681703236.97998047	2622.010819
1784681703241.97998047	2586.806246
1784681703246.97998047	2596.082301
1784681703251.97998047	2581.387434
1784681703256.97998047	2520.829587
1784681703261.97998047	2503.503201
1784681703266.97998047	2459.669130
1784681703271.97998047	2449.866621
1784681703276.97998047	2372.929214
1784681703281.97998047	2407.613948
1784681703286.97998047	2312.934748
1784681703291.97998047	2258.339032
1784681703296.97998047	2241.751325
1784681703301.97998047	2211.746088
1784681703306.97998047	2200.166370
1784681703311.97998047	2143.697833
1784681703316.97998047	2085.065615
1784681703321.97998047	2010.206497
1784681703326.97998047	1975.574854
1784681703331.97998047	1943.741370
1784681703336.97998047	1951.493173
1784681703341.97998047	1816.079852
1784681703346.97998047	1828.305346
1784681703351.97998047	1747.219056
1784681703356.97998047	1742.983389
1784681703361.97998047	1638.748923
1784681703366.97998047	1616.401127
1784681703371.97998047	1543.823139
1784681703376.97998047	1536.628510
1784681703381.97998047	1501.609038
1784681703386.97998047	1465.129504
1784681703391.97998047	1397.230961
1784681703396.97998047	1374.465180
1784681703401.97998047	1320.178183
1784681703406.97998047	1251.758057
1784681703411.97998047	1224.738414
1784681703416.97998047	1158.367674
1784681703421.97998047	1138.661998
1784681703426.97998047	1133.420654
1784681703431.97998047	1088.653159
1784681703436.97998047	1058.089352
1784681703441.97998047	1001.663252
1784681703446.97998047	986.249583
1784681703451.97998047	961.433265
1784681703456.97998047	965.508584
1784681703461.97998047	921.159910
1784681703466.97998047	938.044488
1784681703471.97998047	892.728711
